date,visits
27/12/2021,2417062
28/12/2021,2077607
29/12/2021,1830103
30/12/2021,1610607
31/12/2021,1431303
01/01/2022,1444518.592
02/01/2022,1411436.525
03/01/2022,1386718.014
04/01/2022,1149509
05/01/2022,1272772
06/01/2022,1198565
07/01/2022,1301149
08/01/2022,1294381
09/01/2022,1289896
10/01/2022,1160513
11/01/2022,1070429
12/01/2022,1134482
13/01/2022,1044218
14/01/2022,1048261
15/01/2022,1084728
16/01/2022,1092644
17/01/2022,1079444
18/01/2022,962287
19/01/2022,1059409
20/01/2022,962727
21/01/2022,1015019
22/01/2022,987073
23/01/2022,1005288
24/01/2022,1080786
25/01/2022,928980
26/01/2022,967029
27/01/2022,952366
28/01/2022,1036110
29/01/2022,1027761
30/01/2022,1048692
31/01/2022,955240
01/02/2022,905348
02/02/2022,906320
03/02/2022,750339
04/02/2022,834044
05/02/2022,868232
06/02/2022,900949
07/02/2022,766147
08/02/2022,709671
09/02/2022,760864
10/02/2022,749810
11/02/2022,846307
12/02/2022,850519
13/02/2022,896653
14/02/2022,815627
15/02/2022,806390
16/02/2022,837960
17/02/2022,793811
18/02/2022,900611
19/02/2022,808833
20/02/2022,869207
21/02/2022,849687
22/02/2022,728222
23/02/2022,784638
24/02/2022,719909
25/02/2022,791933
26/02/2022,779542
27/02/2022,811474
28/02/2022,880642
01/03/2022,804098
02/03/2022,806130
03/03/2022,771441
04/03/2022,857134
05/03/2022,841231
06/03/2022,906607
07/03/2022,819980
08/03/2022,783182
09/03/2022,782009
10/03/2022,735644
11/03/2022,831962
12/03/2022,842757
13/03/2022,896902
14/03/2022,867807
15/03/2022,763757
16/03/2022,825760
17/03/2022,706549
18/03/2022,710994
19/03/2022,726621
20/03/2022,766697
21/03/2022,795423
22/03/2022,732862
23/03/2022,700200
24/03/2022,676920
25/03/2022,696283
26/03/2022,630529
27/03/2022,642411
28/03/2022,701231
29/03/2022,719733
30/03/2022,738492
31/03/2022,744981
01/04/2022,829752
02/04/2022,814620
03/04/2022,880911
04/04/2022,828310
05/04/2022,792145
06/04/2022,894117
07/04/2022,839803
08/04/2022,832280
09/04/2022,786691
10/04/2022,807677
11/04/2022,842294
12/04/2022,854374
13/04/2022,860354
14/04/2022,834468
19/04/2022,839454
20/04/2022,744027
21/04/2022,724576
22/04/2022,786859
23/04/2022,769022
24/04/2022,774382
25/04/2022,802112
26/04/2022,701062
27/04/2022,758392
28/04/2022,732050
29/04/2022,755056
30/04/2022,718248
01/05/2022,864182
02/05/2022,832895
03/05/2022,738390
04/05/2022,719682
05/05/2022,649339
06/05/2022,717141
07/05/2022,748995
08/05/2022,669129
09/05/2022,684479
10/05/2022,659448
11/05/2022,697888
12/05/2022,638856
13/05/2022,702532
14/05/2022,602521
15/05/2022,711675
16/05/2022,735559
17/05/2022,658420
18/05/2022,583640
19/05/2022,609351
20/05/2022,732677
21/05/2022,693764
22/05/2022,693663
23/05/2022,748011
24/05/2022,707770
25/05/2022,741286
26/05/2022,732554
27/05/2022,680047
28/05/2022,681941
29/05/2022,739057
30/05/2022,841193
31/05/2022,783511
01/06/2022,797590
02/06/2022,727538
03/06/2022,811304
04/06/2022,704659
05/06/2022,809165
06/06/2022,791638
07/06/2022,725909
08/06/2022,730969
09/06/2022,690885
10/06/2022,821977
11/06/2022,750899
12/06/2022,776898
13/06/2022,806931
14/06/2022,721588
15/06/2022,699213
16/06/2022,669661
17/06/2022,805033
18/06/2022,762161
19/06/2022,750503
20/06/2022,733662
21/06/2022,659425
22/06/2022,651489
23/06/2022,675489
24/06/2022,782379
25/06/2022,732225
26/06/2022,769134
27/06/2022,784848
28/06/2022,734992
29/06/2022,794550
30/06/2022,801504
01/07/2022,753131
02/07/2022,764622
03/07/2022,801674
04/07/2022,763404
05/07/2022,686147
06/07/2022,808336
07/07/2022,707184
08/07/2022,725287
09/07/2022,689488
10/07/2022,721112
11/07/2022,882368
12/07/2022,924632
13/07/2022,915936
14/07/2022,775721
15/07/2022,803769
16/07/2022,763779
17/07/2022,802112
18/07/2022,929882
19/07/2022,960132
20/07/2022,804202
21/07/2022,762156
22/07/2022,809433
23/07/2022,799543
24/07/2022,838730
25/07/2022,928530
26/07/2022,813188
27/07/2022,776534
28/07/2022,848465
29/07/2022,797298
30/07/2022,878283
31/07/2022,873850
01/08/2022,919559
02/08/2022,842625
03/08/2022,826825
04/08/2022,774268
05/08/2022,775878
06/08/2022,752897
07/08/2022,815652
08/08/2022,824797
09/08/2022,763873
10/08/2022,770967
11/08/2022,754973
12/08/2022,757904
13/08/2022,744401
14/08/2022,794580
15/08/2022,856785
16/08/2022,820387
17/08/2022,895321
18/08/2022,915063
19/08/2022,855568
20/08/2022,860373
21/08/2022,879998
22/08/2022,980876
23/08/2022,902777
24/08/2022,972899
25/08/2022,963466
26/08/2022,968331
27/08/2022,902881
28/08/2022,917876
29/08/2022,1188416
30/08/2022,970627
31/08/2022,942254
01/09/2022,901924
02/09/2022,932231
03/09/2022,940919
04/09/2022,1013233
05/09/2022,990363
06/09/2022,929760
07/09/2022,973789
08/09/2022,918166
09/09/2022,851930
10/09/2022,968626
11/09/2022,990795
12/09/2022,980475
13/09/2022,919121
14/09/2022,895835
15/09/2022,919355
16/09/2022,972250
17/09/2022,989773
18/09/2022,1010474
19/09/2022,871315
20/09/2022,924526
21/09/2022,996881
22/09/2022,978704
23/09/2022,964435
24/09/2022,1012666
25/09/2022,1059597
26/09/2022,1052761
27/09/2022,941785
28/09/2022,1002474
29/09/2022,1014266
30/09/2022,1053024
01/10/2022,1147283
02/10/2022,1133431
03/10/2022,1057439
04/10/2022,1042149
05/10/2022,1052349
06/10/2022,981108
07/10/2022,995635
08/10/2022,988424
09/10/2022,1058606
10/10/2022,996901
11/10/2022,1027334
12/10/2022,1034528
13/10/2022,909692
14/10/2022,889906
15/10/2022,964551
16/10/2022,953346
17/10/2022,940752
18/10/2022,896292
19/10/2022,1036355
20/10/2022,937562
21/10/2022,941842
22/10/2022,956242
23/10/2022,1040339
24/10/2022,1035717
25/10/2022,992824
26/10/2022,1045380
27/10/2022,953451
28/10/2022,1011135
29/10/2022,1001508
30/10/2022,1096682
31/10/2022,1037435
01/11/2022,1031206
